index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
2836	main-news	MSRpar	2012test	584	none	none	Police said her two small children were alone in the apartment for up to two days.	Police said her two small children were alone there for up to two days as she lay dead.	3.25
6958	main-news	MSRpar	2012train	461	none	none	INTEL TODAY disclosed details of its next-generation XScale processor for mobile phones and handheld devices here in San Jose.	Intel on Wednesday unveiled its next-generation processor for cell phones, PDAs, and other wireless devices.	3.6
2495	main-news	MSRpar	2012test	76	none	none	The new law requires libraries and schools to use filters or lose federal financing.	The 6-3 ruling reinstates a law that told libraries to install filters or surrender federal money.	2.8
2712	main-news	MSRpar	2012test	404	none	none	Cisco has signed similar deals with AT&T Corp. T.N , SBC Communications Inc. SBC.N and Sprint Corp. FON.N .	Cisco has similar relationships with BellSouth competitors SBC Communications, AT&T and Sprint Communications.	4.0
3183	main-news	MSRpar	2012train	361	none	none	"""There is the real potential for a secondary collapse,"" Gov. James McGreevey said."	The damaged area of the garage was not stable, with ``the real potential for a secondary collapse,'' McGreevey said.	3.6
2514	main-news	MSRpar	2012test	113	none	none	Excluding one-time items, the company enjoyed a profit of 6 cents a share.	Excluding one-time items, it expects profit of 11 cents to 15 cents a share.	2.333
2584	main-news	MSRpar	2012test	221	none	none	Shares of Guidant plummeted in trading both on and off the New York Stock Exchange before a news halt was imposed after midday.	Shares of Guidant were down 5.3 percent at $40.92 in afternoon trading on the New York Stock Exchange.	2.647
6963	main-news	MSRpar	2012train	488	none	none	Shares of Allergan fell 14 cents to close at $78.12 on the New York Stock Exchange (news - web sites).	Shares of Allergan were up 14 cents at $78.40 in late trading on the New York Stock Exchange.	3.25
2846	main-news	MSRpar	2012test	596	none	none	British police arrested 21 people early Tuesday in connection with the suspected ritual murder of an African boy whose torso was found in the Thames River.	Police have arrested 21 people in connection with the murder of a young Nigerian child whose headless and limbless torso was found floating in the river Thames.	3.5
2539	main-news	MSRpar	2012test	148	none	none	The average American makes four trips a day, 45 percent for shopping or errands.	Nearly half - 45 percent - are for shopping or running errands.	3.333
2832	main-news	MSRpar	2012test	577	none	none	"Government bonds sold off sharply after Greenspan told Congress on Tuesday that the U.S. economy ""could very well be embarking on a period of extended growth""."	"Greenspan told Congress on Tuesday the U.S. economy ""could very well be embarking on a period of sustained growth""."	3.2
2705	main-news	MSRpar	2012test	394	none	none	The computers were reportedly located in the U.S., Canada and South Korea.	The PCs are scattered across the United States, Canada and South Korea.	4.75
2770	main-news	MSRpar	2012test	484	none	none	"""Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush."""	"""Today, we are trying to convey this problem to Russian President Vladimir Putin (news - web sites) and President Bush (news - web sites)."""	4.6
2521	main-news	MSRpar	2012test	120	none	none	The researchers found only empty cavities and scar tissue where the tumors had been.	No tumors were detected; rather, empty cavities and scar tissue were found in their place.	4.0
2764	main-news	MSRpar	2012test	474	none	none	The department's position threatens to alienate social conservatives, who have provided strong political support for Mr. Ashcroft and President Bush.	The department's stance disappointed some abortion opponents, and it threatens to alienate social conservatives who have provided strong political support for Ashcroft and President Bush.	3.75
3440	main-news	MSRpar	2012train	735	none	none	Hotly contested legislation that would change the state's takeover law and help a Michigan-based development company fend off a takeover cleared the state Senate on Thursday.	Legislation that would change state takeover law and help Bloomfield Hills-based Taubman Centers Inc. fend off a $1-billion takeover won committee approval Tuesday.	2.75
6769	main-news	MSRpar	2012test	93	none	none	GM, the world's largest automaker, has 115,000 active UAW workers and another 340,000 retirees and spouses.	They cover more than 300,000 UAW workers and 500,000 retirees and spouses.	2.4
2601	main-news	MSRpar	2012test	246	none	none	Four other men who were also charged in June have already pleaded guilty.	Four of the defendants have pleaded guilty to weapons charges and other counts.	3.2
6917	main-news	MSRpar	2012train	231	none	none	"""We hope all parties will continue to make efforts and continue the process of dialogue,"" the Chinese Foreign Ministry said in a statement."	"China's foreign ministry said: ""We hope all parties will continue to make efforts and continue the process of dialogue."""	5.0
3051	main-news	MSRpar	2012train	141	none	none	Yes, from today Flash memory purchased from AMD or Fujitsu will be branded Spansion.	Spansion Flash memory solutions are available worldwide from AMD and Fujitsu.	2.625
3159	main-news	MSRpar	2012train	316	none	none	The Conference Board reported its U.S. Consumer Confidence Index slipped to 83.5 in June from 83.6 in May.	The consumer-confidence index came in at 83.5 in June, down slightly from a revised 83.6 in May, the Conference Board said.	4.667
2983	main-news	MSRpar	2012train	46	none	none	"However, we have decided to opt for the European consortium's engine as the best overall solution and due to the substantial price efforts made""."	"However, we have decided to opt for the European consortium's engine as the best overall solution."""	3.8
2966	main-news	MSRpar	2012train	20	none	none	Plofsky said the commission won't investigate because the three-year statute of limitations has expired.	The panel will not begin a formal investigation because the statute of limitations has expired, Plofsky said.	4.4
2700	main-news	MSRpar	2012test	386	none	none	Schools that fail to meet state goals for three years in a row must offer tutoring in addition to transfers.	Schools that don't meet the testing goals for two years in a row must offer transfers.	2.75
2791	main-news	MSRpar	2012test	517	none	none	Sales for the quarter beat expectations, rising 37 percent year-on-year to 1.76 billion euros.	Sales rose 37 per cent year-on-year to 1.76bn, beating expectations.	4.0
6786	main-news	MSRpar	2012test	172	none	none	Calvin Hollins Jr.'s attorney, Thomas Royce, has repeatedly said his client had no link with the company that owned and operated E2.	The lawyer for Hollins Jr., Thomas Royce, has said his client had no link to the company that owned and operated E2.	4.5
2550	main-news	MSRpar	2012test	167	none	none	Jim Furyk celebrated his first Father's Day as a father by winning his first major golf championship.	His first Father's Day as a dad, his first major as a champion.	3.0
3062	main-news	MSRpar	2012train	159	none	none	"Waksal, in a letter to the court, said: ""I tore my family apart."	In seeking leniency, Waksal apologized to the court, his employees and his family.	2.0
