index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
2101	main-forum	deft-forum	2014	101	none	none	And the simple fact today?	I repeat: And the simple fact today?	4.0
2362	main-forum	deft-forum	2014	362	none	none	Umm the California was a cargo ship I dont care what the article says.	The California was a cargo ship.	4.0
2178	main-forum	deft-forum	2014	178	none	none	not astros or orioles bad Gameday for the orioles game is frozen for me.	Gameday for the orioles game is frozen for me.	3.0
6643	main-forums	answers-forums	2015	1459	none	none	This question has already been widely discussed and answered on Skeptics.	Minimum wage laws hurt the least skilled, least productive the most.	0.0
2127	main-forum	deft-forum	2014	127	none	none	The UK population is just over  million.	The Japanese population is nearly  million.	1.0
2131	main-forum	deft-forum	2014	131	none	none	So, you actually believe every word of what Terral wrote?	GL, Terral Hi Corn: So, you actually believe every word of what Terral wrote?	4.2
2169	main-forum	deft-forum	2014	169	none	none	% How much money does PP take in for abortion services?	How much is spent on abortions services?	2.6
2141	main-forum	deft-forum	2014	141	none	none	I've never accused him of over-milligraming, nothing.	I've never accused him of doctoring a baseball.	0.4
6602	main-forums	answers-forums	2015	1223	none	none	"It's true that, under one understanding of ""accessibility"" and ""determining"", your accessibility relation is determined by your axioms."	Accessibility is determined by the axioms of the modal logic you're working within.	3.8
6558	main-forums	answers-forums	2015	1021	none	none	The point is to get the air out that the infant sucks into the stomach while feeding.	"I've found with my baby that it's more accurate to go by his behavior than by ""rules""."	1.2
2396	main-forum	deft-forum	2014	396	none	none	We are all vessels filled with many wonders.	Jingle Bell Rock by Bobby Helm We are all vessels filled with many wonders.	3.0
2376	main-forum	deft-forum	2014	376	none	none	and videos Seismic data does not equal duration of collapse.	Seismic data does not equal duration of collapse.	4.6
6416	main-forums	answers-forums	2015	228	none	none	As mentioned in the other comments, ANOVA is problematic when mixing types of predictor variables.	I like to think of multitasking as rapid task switching.	0.0
6490	main-forums	answers-forums	2015	631	none	none	In the past it has grown almost like a weed in our pots on our deck here in North Texas.	Additional to the other answers, basil famously doesn't like to be damp overnight.	0.2
6552	main-forums	answers-forums	2015	1007	none	none	I would recommend asking questions in a way that doesn't require a yes or no answer.	Would you be concerned with the mind changing if he wasn't shouting and/or misbehaving?	0.4
