index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
1693	main-captions	images	2015	572	none	none	Two people are racing a sidecar motorcycle in the mud.	The dog carrying a long stick in its mouth.	0.0
1312	main-captions	images	2014	454	none	none	A man riding a small bicycle.	A man is doing a wheelie on a bike.	2.8
6150	main-captions	images	2015	370	none	none	A golden dog is running through the snow.	A pack of sled dogs pulling a sled through a town.	1.4
1362	main-captions	images	2014	533	none	none	A close-up view of a horse's head.	A side view of a horse's head.	3.2
1497	main-captions	images	2015	3	none	none	A pair of dogs playing with a purple ball.	Two dogs play with purple football.	4.4
1431	main-captions	images	2014	639	none	none	A small bird on a tiny branch.	A small bird perched on an icy branch.	3.0
1946	main-captions	images	2015	1342	none	none	A large gray dog is playing in the deep snow.	Four dogs playing in the snow.	2.6
6217	main-captions	images	2015	1018	none	none	The black and brown dog is playing in the yard.	The black and tan dog is chasing something he has spotted.	2.4
6054	main-captions	images	2014	354	none	none	Two white dogs are swimming in the water.	The birds are swimming in the water.	0.8
1483	main-captions	images	2014	725	none	none	Several people on motorcycles in a market square.	People ride mopeds in an urban setting.	1.8
1610	main-captions	images	2015	345	none	none	A young child slides down an orange slide.	A little boy in denim overalls slides down an orange slide.	3.67
1298	main-captions	images	2014	438	none	none	Close up of a brown horse with a blue halter.	A close up of a horse wearing a blue halter.	3.6
1159	main-captions	images	2014	230	none	none	Red double decker bus.	A red, double-decker bus.	5.0
6011	main-captions	images	2014	58	none	none	Red double decker bus driving down a street.	A red two story bus driving along the street.	3.8
1673	main-captions	images	2015	518	none	none	Three dogs are playing in the water.	Three dogs run in the snow.	1.4
6225	main-captions	images	2015	1165	none	none	Children are playing on a trampoline in the snow.	Several children and jumping on a trampoline in the snow.	4.5
1655	main-captions	images	2015	481	none	none	A dog leaps off a dock and into the water.	The black dog leaps off the dock and into the water.	4.0
6094	main-captions	images	2014	631	none	none	A woman leading a white horse.	A man in a tux on a white horse.	2.0
1227	main-captions	images	2014	334	none	none	Two women in the kitchen looking at a object.	Two women in kitchen with one taking a picture.	2.8
6034	main-captions	images	2014	215	none	none	People ride mopeds in an urban setting.	People riding horses in a fenced area.	1.4
1910	main-captions	images	2015	1234	none	none	One child pulls another, sitting in a red wagon, along the sand.	A young boy pulls another boy wearing a silly hat in a radio flyer wagon.	3.4
6226	main-captions	images	2015	1196	none	none	A dog with a stick follows another dog through the water.	A four wheel drive car is driving through the mud.	0.0
1069	main-captions	images	2014	95	none	none	The black bird is sitting on the ground.	A blackbird sitting on the ground.	5.0
