index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
719	main-captions	MSRvid	2012train	321	none	none	The woman is riding a horse.	A man is riding a horse in an arena.	2.0
754	main-captions	MSRvid	2012train	369	none	none	A woman is slicing an onion.	A women slicing lemons.	1.4
291	main-captions	MSRvid	2012test	437	none	none	A woman is slicing some vegetables.	The woman is dicing garlic.	2.8
965	main-captions	MSRvid	2012train	696	none	none	A man is adding oil to a pot.	A dog is catching a fish in a river.	0.2
526	main-captions	MSRvid	2012train	52	none	none	A kitten is playing with a blue rope toy.	A kitten is playing with a toy.	4.4
339	main-captions	MSRvid	2012test	505	none	none	People ride and paddle a raft.	Four people are floating on a raft.	2.25
5903	main-captions	MSRvid	2012train	182	none	none	A woman is hitting a man.	A woman is taking a bath.	0.2
717	main-captions	MSRvid	2012train	319	none	none	A man playing the guitar.	A man is playing a flute.	1.8
554	main-captions	MSRvid	2012train	90	none	none	A girl is eating a cupcake.	A woman is eating a cupcake.	2.6
5959	main-captions	MSRvid	2012train	511	none	none	A woman is brushing her feet.	A woman is chopping an onion.	0.4
892	main-captions	MSRvid	2012train	586	none	none	A person is adding chili powder to chili with beans.	The man is adding seasoning to the beans.	3.8
3	main-captions	MSRvid	2012test	6	none	none	Three men are playing chess.	Two men are playing chess.	2.6
108	main-captions	MSRvid	2012test	158	none	none	Someone is sitring noodles in water.	A woman is boiling noodles in water.	3.2
79	main-captions	MSRvid	2012test	116	none	none	A man is tying his shoe.	A man ties his shoe.	5.0
141	main-captions	MSRvid	2012test	205	none	none	A woman is dancing.	A man is talking.	0.0
5863	main-captions	MSRvid	2012test	653	none	none	The elephants are bathing.	Two women are singing.	0.0
5803	main-captions	MSRvid	2012test	324	none	none	A man is talking on a phone.	A man is singing to a woman.	0.25
5953	main-captions	MSRvid	2012train	464	none	none	A man is riding on a boat.	A man is tying in the machine.	0.4
878	main-captions	MSRvid	2012train	564	none	none	People are walking in the garden.	One boy is talking with other man.	0.0
5971	main-captions	MSRvid	2012train	580	none	none	A person is chopping an herb.	A man is finely chopping a green substance.	3.0
621	main-captions	MSRvid	2012train	188	none	none	The woman is smoking.	The man is walking.	0.2
5978	main-captions	MSRvid	2012train	634	none	none	A woman is slicing big pepper.	A man is playing an instrument.	0.0
587	main-captions	MSRvid	2012train	135	none	none	A woman is squeezing a lemon.	A woman is squeezing juice out of a lemon.	4.4
723	main-captions	MSRvid	2012train	327	none	none	A woman is peeling a potato.	A woman is hitting a man.	0.75
770	main-captions	MSRvid	2012train	400	none	none	A woman covers a piece of meat with flour.	A woman is seasoning a piece of meat.	3.0
5864	main-captions	MSRvid	2012test	660	none	none	The man cut up an onion.	A man is dancing.	0.6
94	main-captions	MSRvid	2012test	136	none	none	A man is levitating.	A man is talking.	0.8
741	main-captions	MSRvid	2012train	353	none	none	A big turtle is walking.	The tortoise is walking.	4.25
281	main-captions	MSRvid	2012test	417	none	none	A person is folding a square paper piece.	A man is folding paper.	3.25
681	main-captions	MSRvid	2012train	268	none	none	A man cuts a potato.	A man is slicing a potato.	3.75
129	main-captions	MSRvid	2012test	191	none	none	A woman is picking a can.	A woman is slicing a tomato.	1.0
675	main-captions	MSRvid	2012train	259	none	none	A man is dancing on the ceiling of a room.	A man is dancing upside-down on the ceiling.	4.6
847	main-captions	MSRvid	2012train	517	none	none	A woman is in the rain.	A car is driving along the road.	0.0
926	main-captions	MSRvid	2012train	633	none	none	A boy is playing piano and singing.	A pig is agitating a lion.	0.0
380	main-captions	MSRvid	2012test	576	none	none	Two men are fighting.	Two men are fighting using a form of martial arts.	2.8
940	main-captions	MSRvid	2012train	656	none	none	A woman is dancing by a fire.	A man ties a noose.	0.0
837	main-captions	MSRvid	2012train	503	none	none	The man is seasoning the sausages.	The man added seasoning to water in a bowl.	2.4
8	main-captions	MSRvid	2012test	14	none	none	A man is playing on a guitar and singing.	A woman is playing an acoustic guitar and singing.	2.2
573	main-captions	MSRvid	2012train	115	none	none	A girl makes up her bed.	A young girl makes her bed.	4.4
62	main-captions	MSRvid	2012test	90	none	none	A kid plays with a toy phone.	A little boy plays with a toy phone.	3.5
198	main-captions	MSRvid	2012test	292	none	none	A herd of deer are crossing the street.	A herd of caribou are crossing a road.	3.0
51	main-captions	MSRvid	2012test	75	none	none	A little boy is playing a keyboard.	A boy is playing key board.	4.4
493	main-captions	MSRvid	2012test	749	none	none	A woman is slicing big pepper.	A dog is moving its mouth.	0.0
679	main-captions	MSRvid	2012train	266	none	none	A man is cutting tomatoes.	A woman is cutting broccoli.	1.5
394	main-captions	MSRvid	2012test	596	none	none	A man is playing a guitar.	Someone is handling a bun.	0.0
114	main-captions	MSRvid	2012test	166	none	none	A man is playing guitar.	A man plays a guitar.	4.857
12	main-captions	MSRvid	2012test	19	none	none	A man is playing a flute.	A man is playing a bamboo flute.	3.867
913	main-captions	MSRvid	2012train	618	none	none	A person is stirring rice.	A woman is cracking an egg.	1.0
5845	main-captions	MSRvid	2012test	550	none	none	A woman is riding a horse along a perimeter.	A dog is riding a skateboard.	0.6
96	main-captions	MSRvid	2012test	141	none	none	A man is riding on a horse.	A girl is riding a horse.	2.6
879	main-captions	MSRvid	2012train	565	none	none	A young child rides a horse.	The little girl rode a horse.	3.2
567	main-captions	MSRvid	2012train	108	none	none	A man is playing two pianos.	A cat is playing a piano.	1.6
588	main-captions	MSRvid	2012train	139	none	none	A woman is slicing an onion.	A man is slicing a tomato.	1.2
195	main-captions	MSRvid	2012test	288	none	none	Two dogs swim in a pool.	Dogs are swimming in a pool.	4.2
25	main-captions	MSRvid	2012test	38	none	none	The boy fell off his bike.	A boy falls off his bike.	4.8
494	main-captions	MSRvid	2012train	0	none	none	A man is riding a bicycle.	A man is riding a bike.	5.0
5858	main-captions	MSRvid	2012test	610	none	none	People are playing baseball.	The cricket player hit the ball.	0.5
530	main-captions	MSRvid	2012train	57	none	none	A person is driving a car.	A man is driving a car.	3.5
611	main-captions	MSRvid	2012train	170	none	none	A woman is cracking eggs into a bowl.	A woman is cracking eggs.	4.0
210	main-captions	MSRvid	2012test	309	none	none	A man is opening a door.	A man is playing a guitar.	0.8
746	main-captions	MSRvid	2012train	359	none	none	A man is putting two paper towels on a paper plate.	A man is putting papers on a dish.	2.2
297	main-captions	MSRvid	2012test	443	none	none	A woman is cutting a cucumber.	A man is playing a guitar.	0.0
246	main-captions	MSRvid	2012test	368	none	none	A man puts some cheese on a pizza.	The man sprinkled cheese on the pizza.	5.0
5784	main-captions	MSRvid	2012test	213	none	none	A puppy plays with a plastic container.	The dog is playing with a plastic container.	3.8
899	main-captions	MSRvid	2012train	598	none	none	A man is giving a lecture on a podium.	A man is delivering a lecture at an event celebrating the game of cricket.	2.333
654	main-captions	MSRvid	2012train	236	none	none	A woman fires a shotgun.	A woman is shooting a gun.	3.2
218	main-captions	MSRvid	2012test	320	none	none	A person plays a keyboard.	Someone is playing a keyboard.	5.0
194	main-captions	MSRvid	2012test	287	none	none	A cat is playing keyboards.	A cat is playing a piano.	3.0
337	main-captions	MSRvid	2012test	502	none	none	A girl is eating a cupcake.	A man is slicing a cucumber.	0.0
5935	main-captions	MSRvid	2012train	390	none	none	A woman is cutting potato.	A woman is riding a horse.	0.75
395	main-captions	MSRvid	2012test	597	none	none	A dog is jumping on a trampoline.	A boy is playing a guitar.	0.0
147	main-captions	MSRvid	2012test	215	none	none	A man is walking slowly across a rope bridge.	A boy is walking across a bridge.	3.0
720	main-captions	MSRvid	2012train	322	none	none	An airplane moves along a runway.	A plane is landing on a runway.	2.8
172	main-captions	MSRvid	2012test	254	none	none	Two baby pandas are playing.	Two pandas are laying together.	3.0
990	main-captions	MSRvid	2012train	731	none	none	A little girl plays the violin on a beach.	The girl sat on the couch to crochet.	0.0
167	main-captions	MSRvid	2012test	246	none	none	A woman is feeding a man.	A woman is mixing meat.	1.0
839	main-captions	MSRvid	2012train	505	none	none	A woman is feeding an aardvark.	A woman is chopping up garlic.	0.4
5823	main-captions	MSRvid	2012test	434	none	none	The woman is dicing onions.	A woman is dancing in railway station.	0.4
5826	main-captions	MSRvid	2012test	453	none	none	A turtle walks over the ground.	A large turtle crawls in the grass.	3.75
5991	main-captions	MSRvid	2012train	716	none	none	A cat is playing with a watermelon on a floor.	A man is pouring oil into a pan.	0.0
5880	main-captions	MSRvid	2012train	5	none	none	A person is peeling shrimp.	A person is preparing shrimp.	3.6
5922	main-captions	MSRvid	2012train	330	none	none	A woman is applying makeup.	A man is playing a guitar.	0.0
173	main-captions	MSRvid	2012test	256	none	none	A baby is laughing.	A baby is laughing and giggling.	4.0
5886	main-captions	MSRvid	2012train	62	none	none	A woman is putting on sun glasses.	A woman puts on sunglasses.	5.0
661	main-captions	MSRvid	2012train	244	none	none	A man stares out a window.	A man looks out the window.	4.8
251	main-captions	MSRvid	2012test	376	none	none	A girl is playing a flute.	A band is playing on a stage.	1.286
867	main-captions	MSRvid	2012train	546	none	none	A dog is pawing at a fly in the carpet before it.	The dog played with a bug on the carpet.	3.6
5751	main-captions	MSRvid	2012test	3	none	none	A man is feeding a mouse to a snake.	The man is feeding a mouse to the snake.	5.0
900	main-captions	MSRvid	2012train	599	none	none	The cat shimmied under the bed.	A cat is crawling upside down under the couch.	2.0
400	main-captions	MSRvid	2012test	604	none	none	A man is playing a guitar.	A man tries to read the paper.	0.8
583	main-captions	MSRvid	2012train	130	none	none	Someone is peeling a potato.	Someone is slicing a tomato.	1.4
672	main-captions	MSRvid	2012train	255	none	none	A man is playing a guitar.	A man in a hat is playing a harp.	1.4
5770	main-captions	MSRvid	2012test	97	none	none	A man is playing a guitar.	A man is playing a trumpet.	1.714
451	main-captions	MSRvid	2012test	681	none	none	A person checks some rice pudding.	A horse is running.	0.0
5851	main-captions	MSRvid	2012test	569	none	none	A girl is playing a flute.	A girl plays a wind instrument.	3.2
417	main-captions	MSRvid	2012test	627	none	none	A cat is jumping into a box.	A young man is talking to a leaf.	0.0
937	main-captions	MSRvid	2012train	651	none	none	A man performs on a stage.	A man guts a fish.	0.4
272	main-captions	MSRvid	2012test	406	none	none	A man is crushing garlic with the back of a knife.	A woman is slicing meat with a knife.	1.5
885	main-captions	MSRvid	2012train	571	none	none	A man is speaking on a phone.	A panda bear is chewing on a stick.	0.0
982	main-captions	MSRvid	2012train	719	none	none	A baby is talking.	A boy is trying to say firetruck.	1.2
5918	main-captions	MSRvid	2012train	285	none	none	Someone is pouring chicken broth into a pot.	The man is pouring broth into the pot.	3.75
116	main-captions	MSRvid	2012test	168	none	none	A woman is flipping pancakes.	A cartoon chef is flipping pancakes.	2.533
5929	main-captions	MSRvid	2012train	377	none	none	A woman is applying eye shadow.	A woman is washing a bowl.	1.2
862	main-captions	MSRvid	2012train	541	none	none	A rabbi is talking.	A man is walking on a rope.	0.0
875	main-captions	MSRvid	2012train	559	none	none	A man is playing a violin.	The baby is laughing and crawling.	0.0
697	main-captions	MSRvid	2012train	291	none	none	A man is climbing a rope.	A man is sitting on a rock.	0.25
401	main-captions	MSRvid	2012test	605	none	none	A man making a bed in a hotel.	A man is holding a animal.	0.8
181	main-captions	MSRvid	2012test	269	none	none	A woman is adding spices on a meat.	Woman is adding sugar to meat.	2.75
361	main-captions	MSRvid	2012test	536	none	none	A man is doing push-ups.	A woman is cutting some octopus.	0.0
467	main-captions	MSRvid	2012test	705	none	none	A cat is drinking some water.	A truck is going down a hill.	0.0
213	main-captions	MSRvid	2012test	314	none	none	A man is punching through boards.	A dog is running through water.	0.4
460	main-captions	MSRvid	2012test	693	none	none	A man is riding a bike.	A panda bear is eating.	0.0
185	main-captions	MSRvid	2012test	273	none	none	The man is eating pizza.	A man is eating a slice of pizza.	4.8
5821	main-captions	MSRvid	2012test	426	none	none	One man is breaking cement on another man's chest.	A man breaks cinder blocks on another man.	3.75
54	main-captions	MSRvid	2012test	80	none	none	A woman is slicing an onion.	A man is cutting and onion.	3.2
177	main-captions	MSRvid	2012test	262	none	none	The cats are playing with each other.	Two cats are fighting each other.	2.6
810	main-captions	MSRvid	2012train	468	none	none	A man is playing the piano.	Someone is playing guitar.	0.75
384	main-captions	MSRvid	2012test	584	none	none	A woman is adding pasta to a pot of water.	A woman is making noodles.	3.6
947	main-captions	MSRvid	2012train	667	none	none	Someone is scratching an animals belly.	A woman is stroking a lemur.	2.0
409	main-captions	MSRvid	2012test	618	none	none	A woman is swimming in the beach.	A woman splashes around in the ocean's waves.	3.2
777	main-captions	MSRvid	2012train	413	none	none	A man plays a trumpet.	A man is playing a musical instrument.	3.4
348	main-captions	MSRvid	2012test	519	none	none	The dog walked along the edge of the pool.	A dog is walking along a pool.	4.6
368	main-captions	MSRvid	2012test	553	none	none	An old woman is shaking hand with a man.	A man and a woman shake hands.	3.75
199	main-captions	MSRvid	2012test	293	none	none	The person is riding the horse.	A man is riding a horse.	3.8
277	main-captions	MSRvid	2012test	413	none	none	A man is rowing a boat.	A man is shooting off a gun.	0.85
624	main-captions	MSRvid	2012train	192	none	none	A man is riding a motorcycle on the highway.	A man is riding a motorcycle.	3.5
331	main-captions	MSRvid	2012test	496	none	none	A man is dieing in an operating room.	A man is kissing a woman in stage.	0.4
5764	main-captions	MSRvid	2012test	51	none	none	A man is finding something.	A woman is slicing something.	0.8
656	main-captions	MSRvid	2012train	239	none	none	A woman is bathing into bath-tub.	A woman is taking a bath.	4.4
560	main-captions	MSRvid	2012train	99	none	none	A person is cutting a capsicum into pieces.	A person is slicing a garlic into pieces.	1.6
730	main-captions	MSRvid	2012train	339	none	none	A person is riding a horse.	A man is riding a motorcycle.	1.8
888	main-captions	MSRvid	2012train	578	none	none	A woman feeds an animal by hand.	The women are feeding the animal.	3.0
964	main-captions	MSRvid	2012train	694	none	none	A child is walking down the street as a jeep pulls up.	A woman is walking along a road and a man in a motorcar pulls up beside her.	1.4
187	main-captions	MSRvid	2012test	275	none	none	A man and a woman talk in a diner.	A man and a woman are riding on a bicycle.	1.2
816	main-captions	MSRvid	2012train	477	none	none	A man is opening a box using a knife.	A man is playing a guitar.	0.0
5771	main-captions	MSRvid	2012test	98	none	none	An animal is chewing on something.	An animal is chewing on a key chain.	3.2
5976	main-captions	MSRvid	2012train	608	none	none	The lady made some slices on the shrimp.	A chef is slicing a shrimp.	2.8
68	main-captions	MSRvid	2012test	104	none	none	A man is dancing.	A man is talking.	0.6
10	main-captions	MSRvid	2012test	17	none	none	The man hit the other man with a stick.	The man spanked the other man with a stick.	4.2
604	main-captions	MSRvid	2012train	159	none	none	A man is riding a horse.	A man is driving a car.	1.4
39	main-captions	MSRvid	2012test	58	none	none	A woman peels shrimp.	A woman is peeling shrimp.	5.0
393	main-captions	MSRvid	2012test	595	none	none	A group of penguins is walking.	A large amount of penguins are heading to the ocean.	2.8
436	main-captions	MSRvid	2012test	654	none	none	Two teams are playing soccer.	Different sets of teams are playing football on a field.	2.5
5797	main-captions	MSRvid	2012test	286	none	none	A man is drilling a hole in a board.	Someone is drilling a hole in a piece of wood.	4.0
563	main-captions	MSRvid	2012train	102	none	none	Someone is pouring oil into a skillet.	Someone is pouring milk into a blender.	1.6
748	main-captions	MSRvid	2012train	361	none	none	A man is cutting a rope with a sword.	The man slced through a thick rope with a sword.	4.4
488	main-captions	MSRvid	2012test	744	none	none	Three children are eating their food.	The deer jumped over the fence.	0.0
5941	main-captions	MSRvid	2012train	408	none	none	A guy is riding a horse.	A man is riding a horse in the desert.	3.4
615	main-captions	MSRvid	2012train	174	none	none	A man sliced through a bunch of water bottles with a knife.	A man is slicing a line of water bottles with a knife	4.4
66	main-captions	MSRvid	2012test	101	none	none	A man and a woman are kissing.	A man and woman kiss.	5.0
327	main-captions	MSRvid	2012test	490	none	none	A man is playing a guitar.	A woman is dancing.	0.2
133	main-captions	MSRvid	2012test	196	none	none	The shirtless man sat in a chair.	A shirtless man is sitting on a chair.	3.8
907	main-captions	MSRvid	2012train	611	none	none	Meat is dropped into a pan.	A woman is putting meat in a pan.	3.25
818	main-captions	MSRvid	2012train	479	none	none	A man is eating.	A woman is rock climbing.	0.0
5995	main-captions	MSRvid	2012train	734	none	none	A man is passionately playing a guitar in front of an audience.	A woman is peeling a potato.	0.0
374	main-captions	MSRvid	2012test	562	none	none	A person pours oil on a skillet.	A person is dicing an onion.	0.8
565	main-captions	MSRvid	2012train	104	none	none	A man is playing a guitar.	A woman is playing a flute.	1.8
960	main-captions	MSRvid	2012train	688	none	none	A woman cuts up a vegetable.	A woman is slicing egg plant.	2.25
5888	main-captions	MSRvid	2012train	68	none	none	Women are running.	Two women are running.	3.824
608	main-captions	MSRvid	2012train	165	none	none	The woman is slicing herbs.	The man is slicing bread.	1.6
