index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
3894	main-news	headlines	2013	180	none	none	Clinton warns Kenya of cost of election violence	Clinton warns Kenya on cost of election unrest	4.6
4493	main-news	headlines	2014	180	none	none	U.S. Senate sets off gun control debate	U.S. Senate set to vote on gun control bill	3.4
4311	main-news	headlines	2013	703	none	none	Bombings, clashes continue in Syria	Bombings, clashes as Syria opposition seeks arms	3.4
5510	main-news	headlines	2015	1398	none	none	India, US to hold talks on China next week	Egypt to hold more talks with IMF on loan next week	1.4
5312	main-news	headlines	2015	896	none	none	Iran, six global powers sign landmark nuclear deal	Iran, six world powers clinch breakthrough nuclear deal	5.0
4518	main-news	headlines	2014	208	none	none	North Korea's third test brings it closer to nuclear power status	NATO says North Korea nuclear test is grave threat to world peace	2.2
4714	main-news	headlines	2014	453	none	none	Obama mourns death of icon Nelson Mandela	South Africans mourn, celebrate Mandela	1.8
5295	main-news	headlines	2015	846	none	none	Israel downs drone from Lebanon	Israel shoots down drone from Lebanon	5.0
5237	main-news	headlines	2015	708	none	none	Russia Warns It May Not Sign Landmark UN Arms Treaty	UN closes in on landmark arms treaty	1.6
5479	main-news	headlines	2015	1329	none	none	China's troubled Xinjiang hit by more violence	China's online population rises to 618 mln	0.4
4041	main-news	headlines	2013	361	none	none	Sectarian clashes rock Lebanese city of Tripoli	Sectarian clashes rock Lebanese city, 3 killed	3.8
5367	main-news	headlines	2015	1028	none	none	At least 20 dead in Somalia attacks	At least 60 die in Iraq prison attack	2.2
4513	main-news	headlines	2014	203	none	none	Iran hopes nuclear talks will yield 'roadmap'	Iran Nuclear Talks in Geneva Spur High Hopes	4.4
4217	main-news	headlines	2013	584	none	none	Australia can eclipse England in Windies	Australian PM defiant under pressure over leadership	0.4
4091	main-news	headlines	2013	422	none	none	Jonny Bairstow and Eoin Morgan shine for England in Mumbai	Bairstow hits ton in India tour match	1.8
4522	main-news	headlines	2014	212	none	none	Israelis, Palestinians resume talks in US	Israelis, Palestinians begin talks	3.8
4040	main-news	headlines	2013	360	none	none	Romney, Paul vie for Maine caucus win	Romney has narrow Maine caucus win	2.8
7076	main-news	headlines	2013	729	none	none	Spurs get revenge on Lakers, lead West	Abduct Israelis to free prisoners, Gaza leaders say	0.0
4067	main-news	headlines	2013	395	none	none	James Murdoch quits BSkyB	James Murdoch quits role at BSkyB	4.2
4338	main-news	headlines	2013	738	none	none	2 rockets hit in the Eshkol region; no injuries	10 rockets in 20 minutes in Eshkol Regional Council	1.8
5358	main-news	headlines	2015	997	none	none	Los Angeles airport worker charged with making 9/11 threats	Los Angeles airport worker charged over 9/11 threats	5.0
7118	main-news	headlines	2014	351	none	none	Stocks close 0.39% higher	Stocks close 2.47% higher	1.8
4213	main-news	headlines	2013	579	none	none	Four foreign soldiers killed in Afghan east	2 British soldiers killed in Afghan insider attack	0.8
7137	main-news	headlines	2014	549	none	none	Turkish police mass near Istanbul park protest area	British police deny protecting sex abuser Savile	0.0
3783	main-news	headlines	2013	42	none	none	French election turnout higher than expected	French presidential election: first round - live updates	1.0
3826	main-news	headlines	2013	97	none	none	What time is Andy Murray v Roger Federer in the Wimbledon men's final? All you need to know about the big game	What time is the Paralympic Opening Ceremony? Everything you need to know about the big curtain-raiser	0.4
