index	genre	filename	year	old_index	source1	source2	sentence1	sentence2	score
980	main-captions	MSRvid	2012train	714	none	none	The doctor was helping the patient.	Doctors are trying to revive a man.	2.8
456	main-captions	MSRvid	2012test	689	none	none	A boy is crawling into a dog house.	A cat is playing on the floor.	0.0
5904	main-captions	MSRvid	2012train	185	none	none	Three men are dancing.	Women are dancing.	1.3
1769	main-captions	images	2015	821	none	none	Two little girls are playing on a trampoline.	Two little boys are playing on a playground.	1.4
1881	main-captions	images	2015	1168	none	none	This over the top photo shows two men taking a break.	A person with swim cap and goggles taking a breath.	0.4
1866	main-captions	images	2015	1131	none	none	A large white and grey dog runs through a yellow tunnel in an obstacle course.	A white and black dog is running out of a yellow and orange tube.	3.6
625	main-captions	MSRvid	2012train	193	none	none	A woman is slicing up some meat.	A woman is slicing some onions.	2.0
6324	main-captions	track5.en-en	2017	149	none	none	A boy does a skateboard trick on the stairs downtown.	a boy is running on the sidewalk	0.6
1498	main-captions	images	2015	4	none	none	a bird lands in the water.	a boat floats in the water.	0.6
1309	main-captions	images	2014	450	none	none	Black and white cow standing in grassy field.	A black and white horned cow standing in a field.	3.8
1935	main-captions	images	2015	1317	none	none	A dog is running through a backyard full of leaves.	Three dogs run through a field.	2.8
1646	main-captions	images	2015	454	none	none	Two terriers play on the wood floor of their home.	Two puppies play with a red chew toy in a field.	1.6
475	main-captions	MSRvid	2012test	715	none	none	A woman is slicing an onion with a knife.	A man is preparing some dish.	1.25
5873	main-captions	MSRvid	2012test	717	none	none	A woman is peeling an orange.	A woman cuts off a small piece of lemon rind.	1.8
451	main-captions	MSRvid	2012test	681	none	none	A person checks some rice pudding.	A horse is running.	0.0
6197	main-captions	images	2015	803	none	none	Black and white dog running through water.	A tan and white dog runs through water.	3.0
1716	main-captions	images	2015	661	none	none	A dog running through a forest in the winter time	A dog running through a lot of twigs.	3.2
680	main-captions	MSRvid	2012train	267	none	none	A woman is boiling shrimp.	A woman is combing her hair.	1.0
1985	main-captions	images	2015	1468	none	none	A group of people are walking down the sidewalk of a big city.	A group of people are riding in the back of a truck.	1.0
17	main-captions	MSRvid	2012test	26	none	none	A woman is writing.	A woman is swimming.	0.5
1861	main-captions	images	2015	1116	none	none	Two black dogs playing in the snow.	A black dog digs in the snow.	3.4
6045	main-captions	images	2014	287	none	none	Two women sitting in lawn chairs.	Two women are sitting in a cafe.	2.6
1786	main-captions	images	2015	863	none	none	A man with a messenger bag in front of a gray tile wall.	Man in red jacket standing in front of lighthouse.	0.8
589	main-captions	MSRvid	2012train	140	none	none	A woman is slicing a carrot.	A man is slicing a tomato.	1.2
1674	main-captions	images	2015	519	none	none	Two dogs playing in the snow.	Two kids playing with a dog.	1.2
6122	main-captions	images	2015	54	none	none	A dog runs on brown grass.	A wet dog runs through the yellow grass holding a tennis ball.	2.2
914	main-captions	MSRvid	2012train	620	none	none	A man puts a knife in a vice.	A man is dancing.	0.25
772	main-captions	MSRvid	2012train	404	none	none	A man does floor exercises.	A man is exercising.	3.6
6014	main-captions	images	2014	73	none	none	A jockey riding a horse in a pen.	A jockey rides a horse at a gallop.	3.6
85	main-captions	MSRvid	2012test	123	none	none	A woman is slicing tomato.	A man is slicing onion.	1.6
798	main-captions	MSRvid	2012train	446	none	none	A woman is slicing pumpkin.	A person is slicing cantaloupe.	2.0
398	main-captions	MSRvid	2012test	601	none	none	Paper is being cut with scissors.	A piece of paper is being cut.	4.0
492	main-captions	MSRvid	2012test	748	none	none	A badger is digging in the dirt.	A man is moving large rocks.	0.0
1131	main-captions	images	2014	190	none	none	Two birds are perched on a metal band.	Two small birds perched on a metal bar.	4.0
341	main-captions	MSRvid	2012test	510	none	none	The missile exploded.	A rocket exploded.	3.2
1558	main-captions	images	2015	205	none	none	A black poodle plays in the snow.	A black poodle frolics in the snow.	5.0
5833	main-captions	MSRvid	2012test	488	none	none	The man used a sword to slice a plastic bottle.	A man sliced a plastic bottle with a sword.	5.0
902	main-captions	MSRvid	2012train	602	none	none	A man is cutting grass.	A masked man sings.	0.0
357	main-captions	MSRvid	2012test	530	none	none	The person lit the cameras on fire.	A person is blow torching cameras.	3.333
1597	main-captions	images	2015	312	none	none	a boy plays with a noodle by the pool.	A boy plays with a foam noodle toy by a pool.	4.6
1618	main-captions	images	2015	368	none	none	A blue and white soccer team playing against each other.	A topless woman with her face painted is covered in mud.	0.0
1609	main-captions	images	2015	344	none	none	Young boys running along the pavement.	A black dog running along the edge of the ocean.	0.5
719	main-captions	MSRvid	2012train	321	none	none	The woman is riding a horse.	A man is riding a horse in an arena.	2.0
490	main-captions	MSRvid	2012test	746	none	none	A man is running on a street.	A man plays the guitar.	0.8
6189	main-captions	images	2015	733	none	none	The two dogs are playing fetch in the snow.	The dogs play in the snow.	4.0
1715	main-captions	images	2015	656	none	none	A dog is jumping into a swimming pool after a duck.	A dog jumping into a swimming pool.	3.4
531	main-captions	MSRvid	2012train	58	none	none	A turtle is walking.	A tortoise is walking.	4.4
1201	main-captions	images	2014	298	none	none	A table and chairs are in a room with a picture on the wall and a ceiling fan.	A school bus driving down a road with green trees and grass in the background.	0.0
5824	main-captions	MSRvid	2012test	446	none	none	A chef is preparing some food.	A chef prepared a meal.	4.0
5935	main-captions	MSRvid	2012train	390	none	none	A woman is cutting potato.	A woman is riding a horse.	0.75
1229	main-captions	images	2014	336	none	none	A steam engine and train moving toward the camera.	A large bird of prey flying towards the camera.	0.8
6001	main-captions	images	2014	13	none	none	A bull standing in the field.	A brown horse stands in a lush green field.	1.4
5894	main-captions	MSRvid	2012train	124	none	none	A man is dancing.	A man is singing.	1.25
386	main-captions	MSRvid	2012test	586	none	none	Two puppies are playing with each other.	Some men are playing soccer.	0.2
462	main-captions	MSRvid	2012test	695	none	none	A boy takes off his sunglasses.	A boy is screaming.	0.5
255	main-captions	MSRvid	2012test	380	none	none	A man is buttering a piece of bread.	A man is applying butter to bread.	5.0
6306	main-captions	track5.en-en	2017	117	none	none	four people walk toward a tower	Two men walk toward a dome-shaped building.	2.0
945	main-captions	MSRvid	2012train	663	none	none	the soccer player kicked the ball side to side between his legs.	A person is kicking a soccer ball back and forth between his feet.	3.4
292	main-captions	MSRvid	2012test	438	none	none	A badger is burrowing a hole.	A badger is digging the earth.	4.6
204	main-captions	MSRvid	2012test	298	none	none	A woman holds a kangaroo.	A woman is picking up a kangaroo.	3.25
1341	main-captions	images	2014	499	none	none	Two brunette girls sit atop a red an yellow motorcycle with a side car.	A couple posing on a red and yellow motorcycle.	3.2
510	main-captions	MSRvid	2012train	33	none	none	A girl is playing a guitar.	A man is playing a guitar.	2.8
5828	main-captions	MSRvid	2012test	462	none	none	Five kittens are eating out of five dishes.	Kittens are eating food on trays.	2.75
6009	main-captions	images	2014	44	none	none	A bag of cotton in front of a couch.	Calico cat sitting on step in front of a door.	0.0
6295	main-captions	track5.en-en	2017	98	none	none	A young boy has a red fishing pole.	A young boy stands over a bridge with a fishing pole.	3.0
6364	main-captions	track5.en-en	2017	223	none	none	The player shoots the winning points.	The basketball player is about to score points for his team.	2.8
187	main-captions	MSRvid	2012test	275	none	none	A man and a woman talk in a diner.	A man and a woman are riding on a bicycle.	1.2
1766	main-captions	images	2015	813	none	none	a black dog swimming through a river.	a black dog digging through the snow.	1.2
372	main-captions	MSRvid	2012test	559	none	none	A man is moving a tree limb.	The woman is playing the violin.	0.0
1043	main-captions	images	2014	62	none	none	A women laying across two men sitting on a sofa.	A man and two women smiling at the camera while sitting on a blue sofa.	2.2
1477	main-captions	images	2014	716	none	none	sheep standing in afield.	A large dog stands next to a sheep in a field.	2.8
513	main-captions	MSRvid	2012train	37	none	none	A woman thinly slices an onion with a large knife.	A woman is slicing onions with a large knife.	4.2
6311	main-captions	track5.en-en	2017	128	none	none	A dog is chasing cows.	A white dog is chasing cows.	4.0
6096	main-captions	images	2014	645	none	none	Left side of a silver train engine.	A close-up of a black train engine.	2.2
1153	main-captions	images	2014	222	none	none	A bicycle is parked outside a bookstore.	People stand outside a bookstore.	0.8
380	main-captions	MSRvid	2012test	576	none	none	Two men are fighting.	Two men are fighting using a form of martial arts.	2.8
727	main-captions	MSRvid	2012train	333	none	none	A woman is stirring rice in a pot.	Someone is putting rice in a pan.	2.769
363	main-captions	MSRvid	2012test	542	none	none	The little boy is singing and playing the guitar.	A baby is playing a guitar.	2.8
1885	main-captions	images	2015	1178	none	none	A dog digging in the sand.	A brown dog digs in the sand.	4.2
801	main-captions	MSRvid	2012train	454	none	none	A woman is cutting a plastic sheet.	A woman is playing a guitar on streets.	0.5
773	main-captions	MSRvid	2012train	406	none	none	A man is slicing a potatoe.	A man is peeling a banana.	1.0
66	main-captions	MSRvid	2012test	101	none	none	A man and a woman are kissing.	A man and woman kiss.	5.0
563	main-captions	MSRvid	2012train	102	none	none	Someone is pouring oil into a skillet.	Someone is pouring milk into a blender.	1.6
1316	main-captions	images	2014	461	none	none	A young girl riding a brown horse.	A woman in riding a brown horse.	3.8
6117	main-captions	images	2015	16	none	none	Two gray dogs run together over the green grass.	Two grey dogs running in green grass.	4.6
378	main-captions	MSRvid	2012test	571	none	none	The cat is drinking milk.	A cat is licking from a saucer of milk.	4.4
144	main-captions	MSRvid	2012test	210	none	none	A man cuts up potatos.	A man slices potatoes.	4.8
1936	main-captions	images	2015	1319	none	none	two puppies playing around in the grass	Two puppies play in the grass	5.0
6285	main-captions	track5.en-en	2017	83	none	none	The man is in a deserted field.	The man is outside in the field.	4.0
1273	main-captions	images	2014	399	none	none	A girl with a red bag standing on the street.	A black dog is staring at a sheep.	0.0
6205	main-captions	images	2015	887	none	none	A dog and cat laying down together.	Two grey dogs are carrying a stick in the water.	0.6
366	main-captions	MSRvid	2012test	547	none	none	A woman is firing a rifle.	A man is performing stunts.	0.25
212	main-captions	MSRvid	2012test	312	none	none	The woman is cutting cooked octopus.	A woman is chopping octopus.	3.8
1005	main-captions	images	2014	7	none	none	a woman at a dinner table writing on her notebook.	Woman at table busy with something.	3.4
1413	main-captions	images	2014	614	none	none	A bicycle is parked by a shop.	A green bike parked outside a book store.	3.8
908	main-captions	MSRvid	2012train	612	none	none	A woman is cutting scallions.	A woman falls on a sand castle.	0.0
712	main-captions	MSRvid	2012train	312	none	none	A woman is smoking.	A woman is making some food.	0.8
134	main-captions	MSRvid	2012test	198	none	none	Two women are wrestling.	Two women are wrestling on the floor.	4.0
5845	main-captions	MSRvid	2012test	550	none	none	A woman is riding a horse along a perimeter.	A dog is riding a skateboard.	0.6
1161	main-captions	images	2014	232	none	none	A small white dog chews on a twig while lying on a wooden deck.	The white dog is laying on the wooden floor underneath the table.	1.6
6073	main-captions	images	2014	544	none	none	A man jumping his dirt bike.	A man on a bike jumping through the air.	3.6
1738	main-captions	images	2015	716	none	none	A man wearing a orange vest is canoeing in the blue water.	A man in an orange jacket raising his hands to the sky in the sand.	1.8
528	main-captions	MSRvid	2012train	55	none	none	A person folds a tortilla.	A man folds a tortilla.	3.5
6248	main-captions	images	2015	1476	none	none	Two dogs approach each other in the grass.	Two dogs face off of each other on the grass.	4.8
1224	main-captions	images	2014	331	none	none	A train sitting on the tracks near a field.	A baby is sitting in the grass.	0.0
